,cluster,id
124,6,46wfWiR8pRgKWcE8KOGbpp
125,6,0jNR7y6nWhEf2gjy8pT8oG
126,16,5atP3ie7LMNWcSu8iNHAjo
127,15,0eR1IuTTatwhtYM2mjDVA1
128,0,3IjfWBZrBISpcLhIMY44T6
129,12,7md4g16Fr128OzJi5MPp0U
130,8,1hmVbvTeSxe8lul1azKFgJ
131,16,4ZpTsUYYknNEjHJc94Q3RQ
132,9,685eauvsI03FrxvpbDZ3aY
133,3,5hCtPGRLgeF05Q902Qdxe2
134,9,1SHRwsJJKhROaFHDArquDR
135,0,0PukrHFus6hVBHku8hrS0Z
136,12,38ymFU7u5XorxpySYJT0FA
137,3,5srqypE3Yk2zkh6Wzouoi1
138,17,2plRom0urixt6BE8t7kOhQ
139,17,0upmhqjGvyv5E3kmcFls4q
140,9,5gHN6XYFNbFfqWOfN4MEqT
141,17,29p6UW08MXzwj9thWBW3uF
142,0,6qxPykWNMJos87C8atw9bE
143,2,2xOJ5GlTL3qZj514CHE3HF
144,11,4hkSiyO1zy1scfc4HWMGR4
145,0,1EHUQesfVKwbthtNcpBi9g
146,6,2dAHKe37uyUrB0v0PJrDDj
147,9,1VB6OY6cwJMznXsfnVwRRT
148,8,1cEhrSF6EylAEqdhUGuNpX
149,2,30UszgTxEuJVG5SUFyBffT
150,23,6XdHZr9iXdqc4Q76wtgbqr
151,3,3ydI3CesHBnaY01Qff9jOr
152,17,1cscA6lDRWDZW0rvGqih34
153,13,1Xt4x0URNfzEufX54hK11h
154,9,1F9kEuwT29fgqlovIclu81
155,15,7bhpOnHyttMaBCg6WGCRzi
156,11,4Di9q4hZf7Qt0xpudHjfXi
157,22,6YGVOvI6ii9E0JVLvGjhid
158,8,15NVnnLI5oXQSw10lKrR51
159,17,2R9nfayl1NXhuAdEpwG2Qa
160,0,42vHoKD1WeloygySAlZ8cn
161,18,4btfzhaFLkVJAQZMgofLnU
162,9,3B1oTeTBbGAbyW4fhDH169
163,15,595FAzn7RvuGdSn473jOaI
164,12,3lTlVtj2fjPsiIpUojpOFJ
165,13,2YMCSqTmBTtcYA8dyUCvbT
166,8,0wB0ikhn5PQh3P4TZxA0ix
167,8,3MyuOZO9kWyvluRgxBoMus
168,12,6J0H5IUCeCdCufAjCklgK7
169,14,3053QmnOijQFGshvpAikky
170,9,7mJGrZIFA5MO6W2QBcWBDX
171,2,31izs2QOIstAxTbClLd0pl
172,17,3By9IFm4E2BvKQygT04O8g
173,13,0zbISnIRWN3ZTNOUkDMxvP
174,22,3jLTSxPaGDL2jGk45vJJX6
175,7,1w53W6yvWDfIxFVCGbEwyE
176,8,61CmIx1hiRH7VRcNb5cCY8
177,9,29KVxfNzWm2Ta3NFMfx15d
178,22,2ySHAi6CPwpGYdsomsezWg
179,15,5bHxoiFjRP33kg52bL0XOJ
180,8,62xA7Zhj8CQSecypWIfpZx
181,8,1RqtpxOWoK6EewdDHOxUMT
182,16,2Kr11rtij0QQAaX6T5e4WB
183,23,2xRUyAQeYVYCohZrEBpbiu
184,16,1jewG0HGuxgsnZoV8tvSPY
185,17,1OU3OPHczBcfFU8cDzSzKT
186,8,5oObGXk0NriZXxV78aIO0X
187,8,2XLalWJKO60CrLdXqssWXW
188,17,6Kf3CcaweEuw24fzHLjnpy
189,15,4hfT1UoIItgFREWZt60z4s
190,8,2QdH0rKlV3d9Y6lWzcnlBH
191,14,51V1nAhYLcn0HtyTtvvMYs
192,12,5bRXm3KUMMZWwlTIXK08Pl
193,9,6HaEWa2XBunQIjtTxcniNn
194,12,4JJcP0Rv9AgyPD6ZGaC8EE
195,9,4pJzUvwU5ufYr8rLdQ6aYK
196,11,6EEOfwJ6K8z7Kx4B02dVP4
197,0,6A1saAvDazXafTOMtOnhGm
198,0,1WoBED8U50OSvX8HpfQlsC
199,11,2fePTyV9lwf7qYLkyCwTsX
200,3,2WG6IiDx0g5bfPt4VCLvEH
201,11,4TeIK49c0CBzG5WsQiqE2X
202,9,3Sh47yNNLLv3XRHfYrLLRk
203,0,45geAf9uCa2oyEtWsyYUY9
204,8,2f1l2en7wzQqGPdQXNdJ7C
205,21,4q3fCKgrb9nqTDbEcTFv2H
206,8,3VzW3IXIwEvZ0HcKZEFZjJ
207,21,6ONKZO5NqZvQpCpNdVnMhC
208,16,6wqHy0mzs80SEWmWiDTZtc
209,0,1gYEEUPUkwA2l1cJ2w3xWB
210,9,5NJQfROW8YQIRGC8LDt1xx
211,18,0aefDhwto2nL2kTHIiil0J
212,12,2Nt3VdNRFMkDfloEzXywGn
213,17,2slozVu6Y98fyWOr4irvCD
214,8,5i5zn4un7FhVeNYiGNnLDA
215,0,2cc8Sw1OnCuA5bV8nqWqpE
216,8,7arsXR8AtExnOFN3v3HiJI
217,8,4sofJiicQwKsRo3S1vpt39
218,0,7IhWJM8cN04zRQ2PNM91xc
219,8,54zJ1SxDe0CQhWRij7E0no
220,14,5kNv1Du0DqYgKkFgXiBRu3
221,8,3MqzqG6fij34pDxd29mikA
222,17,1t0Jmqg1pKVBbxjQFZebeR
223,17,4YMApzzqCO31TPxPvgdHhh
224,13,4k6Emp6KJ4GNRyf6wUKODl
225,14,52t3lx38kiruAIGY2gISfc
226,3,1Gz2E1chOzRyhFXHJYWw8y
227,14,3hbi5zXAgQt0Z9V5JSOnCe
228,14,5OJbBrGPY4scEGwMysuyLb
229,17,3JhTqa080FiJORsvJ2elUy
230,3,7HXBG0W8gFJwHUh5mVF9tf
231,3,0IDU2CjK6ayag6xjarO3kh
232,14,3evAUkYDPeLX5kn0LbvGz4
233,13,1RN6ECX6SLW9216rxg3DYG
234,21,236irGwQHCBQnRJs2zgoib
235,8,2m3RjRXib3un5AEh08k8Fe
236,9,0gNXY64y1CKoNsIo96WuLn
237,23,4ga4WvRNhMsIL38pkBbnIN
238,22,2cGnOx17iac6m7R5YDUZac
239,12,4KFFv2gYbZyltjKZ5hthIs
240,14,4vgP9RNzsXEUcW7Ws50VrI
241,8,78oZ26xvmtCfarveRXs3dq
242,21,3zPfyVThoCzQ6IB5CSGDTz
243,14,6uTxQDrjjKwyugx6ggjTmA
244,22,4FEcEwbE2vsqhxbTPtiNTL
245,13,2dyrLrVopYKGc3H9oOYSmZ
246,13,5RQmbhnkrt6llPrxqRsym4
247,8,1RSBK5VWdjPjHEmRhAkS4Q
248,14,0NMhB5jf4SJhzqnx6pBHNh
249,8,2RQYvKXf2WG4bqN6hPRNq6
250,17,5cBHDVijSYGOpgnSx7rBuw
251,8,2VveodsDiyIi3zcYMDgRx1
252,0,1LsoAswipJvPzdcSnoQ46C
253,17,1rKOURI3kDZFITMZcgqDvO
254,13,273n4aGEPcL1HrcdhpGGul
255,0,6uJdKvwRPpq35xuJlKyQMJ
256,3,5bZlKUqFIf0uM3MW03bhlG
257,8,0gnPONZvU8go7Cze5A9HoJ
258,0,4x0yfBUpGWpovUxJqj20p0
259,9,4MjW0jp8b9hAe1dmzJIBCG
260,0,0d2F9wcykuZ1QzDMcI0Mf0
261,0,7I5XQpe29kmU86T37nhJip
262,13,44xO8889yUQHn70P73NILS
263,17,7v5AEwuaQurzjaOwOzFVdo
264,0,6rAGFY9D3ah6Lb7fUgbNNH
265,9,2Q8fFORnsDE6I3RNvSLXSf
266,14,1G4FRQ4zQRgewsYvJhT7Rn
267,9,15sj1LkQFvBCWhJWlVN8KL
268,6,5892YX6q8y3Rs9OysF08kv
269,17,7clsGP3ea7rhBaEK9ga898
270,17,4vrnHICJfoguGfzLkQeyy5
271,8,4cGPfZv4bRv7lWWQwT8g0k
272,9,4m9HfhURlzkhM8kK4SqTqM
273,22,3AygCrAj6TZZ6mGkcvD9To
274,0,6YGq0IfrGMx4KsF0GnFpP3
275,22,5RDiIWs04XHFEhN7vby5aA
276,13,6e2kwYm4qe4hFbOkLm4nbF
277,0,0aYkYtV9oDepLueh0hgVmV
278,8,0vvR7ogspsWehDhpZPNhZF
279,17,1hnDaOYkZwW6ZSDeDXmNFo
280,22,5YvYKEQEYJp4orh4z3Dnpk
281,0,2ybp2K0VO9sbtGFCfO8tp1
282,14,4l8fwDaGkOWJqvNacpcBTo
283,14,63GyZaNNNigHM47t7eaGzA
284,8,6qOY5MMxZuN2DQGOJ6qSKR
285,0,1okhlrAG0YsKTx9PpPprXv
286,14,0GNDtlr5gUvO8SfjIkj3bP
287,14,0WfOuXw05LJq4ik1lVvTzi
288,0,5qpEtUsEI1VkG63MNlRrAC
289,9,7uhOIYLVWbBZ6ISBoyiMrl
290,12,43PGPuHIlVOc04jrZVh9L6
291,12,6rTInqW3YECMkQsBEHw4sd
